"Country, area or territory",WHO region,Influenza transmission zone, Year,Week,Start date,End date,Received/ collected,Processed,A (H1),A (H1N1)pdm09,A (H3),A (H5),A (not subtyped),A (Total),B (Yamagata lineage),B (Victoria lineage),B (lineage not determined),B (Total),Total number of influenza positive viruses,Total  number  of influenza negative viruses,ILI activity
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,51,2016-12-19,2016-12-25,,2112,0,4,279,,428,711,2,0,22,24,735,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2016,52,2016-12-26,2017-01-01,,2211,0,0,381,,494,875,7,0,39,46,921,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,1,2017-01-02,2017-01-08,,2322,0,3,421,,750,1174,8,0,32,40,1214,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,2,2017-01-09,2017-01-15,,2725,0,0,447,,1006,1453,10,1,44,55,1508,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,3,2017-01-16,2017-01-22,,2308,0,1,377,,784,1162,13,0,39,52,1214,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,4,2017-01-23,2017-01-29,,2076,0,0,297,,849,1146,19,0,56,75,1221,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,5,2017-01-30,2017-02-05,,2220,0,1,307,,856,1164,11,0,67,78,1242,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,6,2017-02-06,2017-02-12,,2037,0,1,266,,623,890,10,0,47,57,947,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,7,2017-02-13,2017-02-19,,1992,0,0,240,,425,665,8,0,65,73,738,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,8,2017-02-20,2017-02-26,,1906,0,2,173,,456,631,21,0,69,90,721,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,9,2017-02-27,2017-03-05,,1814,0,0,126,,349,475,26,0,67,93,568,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,10,2017-03-06,2017-03-12,,1745,0,2,92,,162,256,18,0,105,123,379,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,11,2017-03-13,2017-03-19,,1907,0,0,82,,106,188,25,1,107,133,321,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,12,2017-03-20,2017-03-26,,1746,0,2,55,,87,144,24,0,111,135,279,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,13,2017-03-27,2017-04-02,,1881,0,0,57,,60,117,3,0,161,164,281,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,14,2017-04-03,2017-04-09,,1708,0,0,28,,47,75,24,7,130,161,236,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,15,2017-04-10,2017-04-16,,1448,0,1,11,,29,41,25,0,115,140,181,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,16,2017-04-17,2017-04-23,,1433,0,0,12,,22,34,28,0,125,153,187,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,17,2017-04-24,2017-04-30,,1444,0,0,14,,21,35,30,0,132,162,197,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,18,2017-05-01,2017-05-07,,1426,0,1,18,,17,36,20,0,140,160,196,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,19,2017-05-08,2017-05-14,,1563,0,2,10,,23,35,14,0,172,186,221,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,20,2017-05-15,2017-05-21,,1493,0,0,9,,24,33,0,0,122,122,155,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,21,2017-05-22,2017-05-28,,1285,0,0,2,,5,7,0,0,50,50,57,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,22,2017-05-29,2017-06-04,,992,0,0,3,,7,10,0,0,33,33,43,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,23,2017-06-05,2017-06-11,,268,0,0,0,,0,0,0,0,1,1,1,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,24,2017-06-12,2017-06-18,,262,0,0,1,,0,1,0,0,2,2,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,25,2017-06-19,2017-06-25,,290,0,0,2,,0,2,0,0,2,2,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,26,2017-06-26,2017-07-02,,254,0,0,1,,1,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,27,2017-07-03,2017-07-09,,269,0,0,1,,1,2,0,0,4,4,6,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,28,2017-07-10,2017-07-16,,222,0,0,0,,1,1,0,0,0,0,1,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,29,2017-07-17,2017-07-23,,263,0,0,1,,0,1,0,0,0,0,1,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,30,2017-07-24,2017-07-30,,259,0,0,2,,1,3,0,0,0,0,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,31,2017-07-31,2017-08-06,,232,0,0,2,,0,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,32,2017-08-07,2017-08-13,,231,0,0,0,,0,0,0,0,1,1,1,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,33,2017-08-14,2017-08-20,,240,0,0,3,,0,3,0,0,0,0,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,34,2017-08-21,2017-08-27,,236,0,0,2,,2,4,0,0,0,0,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,35,2017-08-28,2017-09-03,,219,0,0,3,,0,3,0,0,0,0,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,36,2017-09-04,2017-09-10,,240,0,1,1,,1,3,0,0,0,0,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,37,2017-09-11,2017-09-17,,279,0,1,3,,0,4,0,0,0,0,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,38,2017-09-18,2017-09-24,,313,0,0,0,,0,0,0,0,0,0,0,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,39,2017-09-25,2017-10-01,,308,0,0,0,,2,2,0,0,1,1,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,40,2017-10-02,2017-10-08,,1284,0,5,14,,31,50,0,0,14,14,64,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,41,2017-10-09,2017-10-15,,1452,0,2,15,,25,42,1,1,21,23,65,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,42,2017-10-16,2017-10-22,,1452,0,0,16,,16,32,4,1,18,23,55,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,43,2017-10-23,2017-10-29,,1483,0,0,10,,20,30,1,0,7,8,38,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,44,2017-10-30,2017-11-05,,1490,0,1,10,,26,37,1,0,12,13,50,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,45,2017-11-06,2017-11-12,,1649,0,3,21,,26,50,6,0,27,33,83,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,46,2017-11-13,2017-11-19,,1856,0,4,49,,34,87,8,1,37,46,133,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,47,2017-11-20,2017-11-26,,2083,0,6,79,,59,144,9,0,50,59,203,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,48,2017-11-27,2017-12-03,,2031,0,8,103,,78,189,6,0,45,51,240,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,49,2017-12-04,2017-12-10,,2322,0,22,209,,158,389,2,0,108,110,499,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,50,2017-12-11,2017-12-17,,2873,0,20,431,,286,737,6,0,210,216,953,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,51,2017-12-18,2017-12-24,,3815,0,42,856,,683,1581,19,0,610,629,2210,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2017,52,2017-12-25,2017-12-31,,4000,0,38,824,,947,1809,21,0,946,967,2776,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,1,2018-01-01,2018-01-07,,4750,0,47,832,,1348,2227,44,0,1587,1631,3858,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,2,2018-01-08,2018-01-14,,4870,0,56,700,,1301,2057,45,1,2004,2050,4107,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,3,2018-01-15,2018-01-21,,4329,0,87,503,,1109,1699,47,0,2046,2093,3792,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,4,2018-01-22,2018-01-28,,3632,0,77,379,,1099,1555,50,0,2002,2052,3607,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,5,2018-01-29,2018-02-04,,2966,0,50,271,,1061,1382,43,0,1744,1787,3169,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,6,2018-02-05,2018-02-11,,2606,0,31,232,,855,1118,47,0,1498,1545,2663,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,7,2018-02-12,2018-02-18,,2577,0,143,243,,989,1375,7,0,1428,1435,2810,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,8,2018-02-19,2018-02-25,,2313,0,35,264,,1325,1624,51,0,1669,1720,3344,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,9,2018-02-26,2018-03-04,,2102,0,35,207,,934,1176,34,0,1174,1208,2384,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,10,2018-03-05,2018-03-11,,1878,0,21,133,,1195,1349,39,0,1249,1288,2637,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,11,2018-03-12,2018-03-18,,1833,0,39,129,,1025,1193,0,0,961,961,2154,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,12,2018-03-19,2018-03-25,,1732,0,34,124,,926,1084,0,0,641,641,1725,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,13,2018-03-26,2018-04-01,,1639,0,19,100,,733,852,0,0,469,469,1321,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,14,2018-04-02,2018-04-08,,1483,0,23,90,,665,778,0,0,357,357,1135,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,15,2018-04-09,2018-04-15,,1466,0,18,80,,471,569,0,0,240,240,809,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,16,2018-04-16,2018-04-22,,1225,0,7,41,,224,272,0,0,130,130,402,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,17,2018-04-23,2018-04-29,,1152,0,3,17,,82,102,0,0,68,68,170,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,18,2018-04-30,2018-05-06,,1033,0,4,13,,59,76,0,0,25,25,101,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,19,2018-05-07,2018-05-13,,1037,0,3,11,,44,58,0,0,28,28,86,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,20,2018-05-14,2018-05-20,,1003,0,0,8,,33,41,0,0,23,23,64,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,21,2018-05-21,2018-05-27,,901,0,2,1,,3,6,0,0,5,5,11,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,22,2018-05-28,2018-06-03,,1008,0,2,2,,2,6,2,0,4,6,12,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,23,2018-06-04,2018-06-10,,946,0,0,5,,0,5,0,0,2,2,7,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,24,2018-06-11,2018-06-17,,848,0,1,1,,3,5,1,0,1,2,7,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,25,2018-06-18,2018-06-24,,1125,0,0,1,,1,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,26,2018-06-25,2018-07-01,,872,0,2,0,,0,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,27,2018-07-02,2018-07-08,,726,0,2,0,,0,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,28,2018-07-09,2018-07-15,,690,0,2,0,,1,3,0,0,0,0,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,29,2018-07-16,2018-07-22,,698,0,1,1,,1,3,0,0,1,1,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,30,2018-07-23,2018-07-29,,688,0,0,0,,0,0,0,0,0,0,0,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,31,2018-07-30,2018-08-05,,640,0,0,1,,1,2,0,0,2,2,4,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,32,2018-08-06,2018-08-12,,645,0,0,0,,2,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,33,2018-08-13,2018-08-19,,648,0,0,0,,0,0,0,0,0,0,0,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,34,2018-08-20,2018-08-26,,717,0,0,2,,1,3,0,0,0,0,3,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,35,2018-08-27,2018-09-02,,805,0,4,1,,0,5,0,0,0,0,5,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,36,2018-09-03,2018-09-09,,916,0,5,1,,2,8,0,0,0,0,8,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,37,2018-09-10,2018-09-16,,900,0,3,0,,1,4,0,0,2,2,6,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,38,2018-09-17,2018-09-23,,964,0,2,1,,1,4,0,0,2,2,6,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,39,2018-09-24,2018-09-30,,799,0,0,1,,1,2,0,0,0,0,2,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,40,2018-10-01,2018-10-07,,1141,0,3,2,,13,18,0,0,11,11,29,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,41,2018-10-08,2018-10-14,,1162,0,3,1,,19,23,0,0,1,1,24,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,42,2018-10-15,2018-10-21,,1214,0,5,5,,17,27,0,0,13,13,40,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,43,2018-10-22,2018-10-28,,1196,0,22,2,,30,54,0,0,9,9,63,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,44,2018-10-29,2018-11-04,,1273,0,36,3,,43,82,0,0,13,13,95,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,45,2018-11-05,2018-11-11,,1598,0,31,5,,71,107,0,0,15,15,122,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,46,2018-11-12,2018-11-18,,1586,0,32,8,,82,122,0,0,15,15,137,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,47,2018-11-19,2018-11-25,,1590,0,36,1,,84,121,0,0,17,17,138,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,48,2018-11-26,2018-12-02,,1852,0,69,5,,150,224,0,0,19,19,243,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,49,2018-12-03,2018-12-09,,1902,0,91,11,,190,292,0,0,10,10,302,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,50,2018-12-10,2018-12-16,,1841,0,119,6,,258,383,0,0,20,20,403,,No Report
United Kingdom of Great Britain and Northern Ireland,European Region of WHO,Northern Europe,2018,51,2018-12-17,2018-12-23,,2115,0,269,13,,544,826,0,0,20,20,846,,No Report
